,COUNTYFP,NAME,full_area,34kt Winds,34kt_pct,50kt Winds,50kt_pct,64kt Winds,64kt_pct,total_premium,indemnity_amount,net_planted_quantity,pcp,PlantedAcres,TotalAcres
0,009,Brevard,0.30850748249401566,0.30850748249401555,99.99999999999997,0.30850748249401555,99.99999999999997,0.0,0.0,8918.4,103387.6,79.25,22.74,25213.280000000002,51214.28
1,023,Columbia,0.19447726275489777,0.1944772627548978,100.00000000000003,0.1944772627548978,100.00000000000003,0.0,0.0,32304.6,152313.6,685.9540000000001,13.49,33677.91000000001,37221.01000000001
2,039,Gadsden,0.12874295161159033,0.12874295161159058,100.0000000000002,0.021117933524044716,16.403176453306926,0.0,0.0,11689.699999999999,40218.6,528.29,9.87,8457.65,8498.279999999999
3,055,Highlands,0.26134468451400134,0.2613446845140015,100.00000000000007,0.2613446845140015,100.00000000000007,0.2612676313486991,99.97051665104821,720777.4,9192255.2,24404.12,23.62,150229.47000000003,179196.50000000003
4,065,Jefferson,0.1490394200711617,0.14903942007116172,100.00000000000003,0.14903942007116172,100.00000000000003,0.0,0.0,32431.0,58683.0,1701.0,10.91,22738.777000000002,25059.977000000003
5,073,Leon,0.170716195299825,0.170716195299825,100.0,0.15561995177121202,91.15711107425994,0.0,0.0,0.0,0.0,0.0,10.12,1024.3799999999999,1789.8
6,095,Orange,0.23946171797200072,0.23946171797200042,99.99999999999987,0.23946171797200042,99.99999999999987,0.0,0.0,13616.0,125236.0,58.1,19.61,3588.48,3588.48
7,107,Putnam,0.19946995332700004,0.19946995332699985,99.9999999999999,0.19946995332699985,99.9999999999999,0.0,0.0,0.0,0.0,0.0,18.71,9745.699999999999,9887.15
8,123,Taylor,0.2552206000306776,0.2552206000306776,100.0,0.2552206000306776,100.0,0.0,0.0,0.0,0.0,0.0,14.54,2151.99,2251.99
9,127,Volusia,0.30381480196665833,0.303814801966658,99.99999999999989,0.303814801966658,99.99999999999989,0.0,0.0,0.0,0.0,0.0,18.4,16610.34,35523.34
10,131,Walton,0.2797631497895323,0.279763149789532,99.99999999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.73,38430.509999999995,38535.509999999995
11,133,Washington,0.15007099531549986,0.1500709953155,100.00000000000009,0.0,0.0,0.0,0.0,4385.0,26090.0,51.2,10.99,29327.1,29760.039999999997
12,077,Liberty,0.20462430738699994,0.20462430738700013,100.00000000000009,0.0037390427096734716,1.8272720173962178,0.0,0.0,0.0,0.0,0.0,10.35,430.84999999999997,10782.43
13,093,Okeechobee,0.2106618752634998,0.2106618752634995,99.99999999999986,0.2106618752634995,99.99999999999986,0.09887340061391431,46.934643722430366,108462.0,842196.0,1728.3,21.81,188738.52000000002,196744.15000000002
14,097,Osceola,0.3580984354615003,0.35809843546149944,99.99999999999977,0.35809843546149944,99.99999999999977,0.0,0.0,158830.0,1867170.0,2949.6,20.87,143518.12999999998,143533.47999999998
15,033,Escambia,0.18188652771013697,0.11150215497197075,61.30314123631294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.16,29729.960000000003,29764.960000000003
16,037,Franklin,0.137173569361739,0.13717356936173894,99.99999999999996,0.03354708568757474,24.455939904215853,0.0,0.0,0.0,0.0,0.0,10.14,6.07,7.49
17,041,Gilchrist,0.08577329896450005,0.08577329896450009,100.00000000000004,0.08577329896450009,100.00000000000004,0.0,0.0,10153.0,8328.0,37.5,17.22,42975.69,43118.58
18,047,Hamilton,0.12627481487232584,0.1262748148723255,99.99999999999973,0.1262748148723255,99.99999999999973,0.0,0.0,27580.0,39486.0,1202.5,14.16,20436.24,23939.100000000002
19,053,Hernando,0.11905403231558585,0.11905403231558584,99.99999999999999,0.11905403231558584,99.99999999999999,0.11905403231558584,99.99999999999999,3381.0,50759.0,14.0,18.89,15163.86,15171.59
20,071,Lee,0.20852422236735632,0.20852422236735627,99.99999999999997,0.20852422236735627,99.99999999999997,0.20852422236735627,99.99999999999997,460518.0,6580090.0,6450.300000000001,24.02,1729.0,2981.0
21,013,Calhoun,0.13967475545750077,0.1396747554575008,100.00000000000003,0.0,0.0,0.0,0.0,49411.0,88946.0,861.3,10.86,17846.23,19458.45
22,069,Lake,0.2767664128294985,0.27676641282949865,100.00000000000007,0.27676641282949865,100.00000000000007,0.04230119658051507,15.284078782556126,64426.0,848424.0,925.4,19.76,35767.96000000001,43327.44
23,129,Wakulla,0.15293706290591028,0.15293706290590986,99.99999999999972,0.13746301923988938,89.88208392916451,0.0,0.0,0.0,0.0,0.0,10.79,1170.87,8201.869999999999
24,079,Madison,0.1741229504881722,0.17412295048817214,99.99999999999997,0.17412295048817214,99.99999999999997,0.0,0.0,1471.0,5294.0,44.85,13.12,52521.329999999994,54424.2
25,113,Santa Rosa,0.2800193150624217,0.27962037147517527,99.85752997533133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.64,59654.71999999999,59654.71999999999
26,057,Hillsborough,0.2575102270865995,0.2575102270865991,99.99999999999984,0.2575102270865991,99.99999999999984,0.2575102270865991,99.99999999999984,64851.0,387252.0,755.7,19.01,39183.97999999999,39205.97999999999
27,089,Nassau,0.1632495371913367,0.16324953719133653,99.9999999999999,0.16324953719133653,99.9999999999999,0.0,0.0,0.0,0.0,0.0,16.56,7875.79,7994.7699999999995
28,075,Levy,0.27831703270274954,0.27831703270274927,99.9999999999999,0.27831703270274927,99.9999999999999,0.0,0.0,66150.45999999999,468800.65,1520.493,18.03,62900.48,62902.58
29,045,Gulf,0.13802462990672557,0.13802462990672557,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.24,215.69,3381.69
30,105,Polk,0.47748581200300116,0.47748581200300083,99.99999999999993,0.47748581200300083,99.99999999999993,0.3510383495335035,73.51806916752892,1004012.5,9769025.1,21721.47,19.92,119883.35399999996,119887.75399999996
31,121,Suwannee,0.167954577478105,0.16795457747810502,100.00000000000003,0.16795457747810502,100.00000000000003,0.0,0.0,9117.65,161468.0,542.34,15.43,59614.17999999999,64972.06999999999
32,029,Dixie,0.1736957376908112,0.1736957376908114,100.00000000000011,0.1736957376908114,100.00000000000011,0.0,0.0,2887.0,21168.0,64.7,18.85,8728.789999999999,9533.859999999999
33,007,Bradford,0.07272962541500008,0.07272962541500008,100.0,0.07272962541500008,100.0,0.0,0.0,0.0,0.0,0.0,14.51,2567.3799999999997,4201.04
34,115,Sarasota,0.14283416025758894,0.1428341602575892,100.00000000000017,0.1428341602575892,100.00000000000017,0.1428341602575892,100.00000000000017,10314.0,151831.0,173.7,26.72,7937.04,7937.04
35,035,Flagler,0.12222640003007233,0.12222640003007226,99.99999999999994,0.12222640003007226,99.99999999999994,0.0,0.0,0.0,0.0,0.0,18.27,7357.189999999999,7607.189999999999
36,059,Holmes,0.11946854923790093,0.1194685492379009,99.99999999999997,0.0,0.0,0.0,0.0,453.0,640.8,4.8,10.87,65133.48999999998,65137.539999999986
37,109,St. Johns,0.16291823601979205,0.16291823601979186,99.99999999999987,0.16291823601979186,99.99999999999987,0.0,0.0,0.0,0.0,0.0,19.5,10326.800000000003,10328.800000000003
38,111,St. Lucie,0.14449412166798026,0.14449412166798029,100.00000000000003,0.14449412166798029,100.00000000000003,0.0,0.0,1104005.7000000002,10575314.95,12907.235999999999,22.8,79034.74000000002,79228.16000000002
39,031,Duval,0.206391166830025,0.20639116683002534,100.00000000000016,0.20639116683002534,100.00000000000016,0.0,0.0,0.0,0.0,0.0,16.7,5739.170000000001,6725.170000000001
40,119,Sumter,0.13869983603600053,0.13869983603600014,99.99999999999972,0.13869983603600014,99.99999999999972,0.08869668735713727,63.94866056951605,1841.0,2883.0,28.9,18.42,92312.83999999998,92664.68999999999
41,099,Palm Beach,0.5227469644306868,0.5227469644306867,99.99999999999997,0.5227469644306867,99.99999999999997,0.12382575479603182,23.687512931019686,906322.0,4691722.0,0.0,15.21,307695.29,311143.29
42,067,Lafayette,0.1326461156775003,0.13264611567750034,100.00000000000004,0.13264611567750034,100.00000000000004,0.0,0.0,0.0,0.0,0.0,16.79,50599.29,52610.61
43,019,Clay,0.15580966100700014,0.1558096610069998,99.99999999999979,0.1558096610069998,99.99999999999979,0.0,0.0,0.0,0.0,0.0,16.91,3031.79,3032.64
44,049,Hardee,0.15095559922449978,0.15095559922449978,100.0,0.15095559922449978,100.0,0.15095559922449978,100.0,602329.0,4891059.75,11527.797199999999,24.37,76515.49000000002,76561.89000000001
45,001,Alachua,0.23386180094799977,0.23386180094800024,100.0000000000002,0.23386180094800024,100.0000000000002,0.0,0.0,8473.0,21478.0,123.13,15.3,39828.700000000004,46366.530000000006
46,027,DeSoto,0.15070484222499958,0.15070484222499964,100.00000000000004,0.15070484222499964,100.00000000000004,0.15070484222499964,100.00000000000004,1105337.4,11190500.6,26207.915,25.26,80193.66999999998,80227.61999999998
47,061,Indian River,0.12801943625264178,0.12801943625264178,100.0,0.12801943625264178,100.0,0.0,0.0,1596147.8,18101739.2,16149.146,21.87,32253.560000000005,32253.560000000005
48,021,Collier,0.4917642033414839,0.49176420334148346,99.99999999999991,0.49176420334148346,99.99999999999991,0.49176420334148346,99.99999999999991,859954.9999999999,11345158.0,22150.9100000001,25.07,11973.820000000002,12104.820000000002
49,051,Hendry,0.27913529623150124,0.27913529623150113,99.99999999999996,0.27913529623150113,99.99999999999996,0.27913529623150113,99.99999999999996,1179510.6,23172804.8,40462.78,13.56,244074.61000000002,251720.66
50,005,Bay,0.21425186802794569,0.2142518680279456,99.99999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.85,564.5699999999999,564.5699999999999
51,063,Jackson,0.2330136117620951,0.23301361176209523,100.00000000000007,0.0,0.0,0.0,0.0,73559.2,131231.5,368.05,10.31,151418.19,151422.1
52,101,Pasco,0.1832633582121496,0.1832633582121495,99.99999999999996,0.1832633582121495,99.99999999999996,0.1832633582121495,99.99999999999996,571.0,4319.0,18.5,19.71,54860.57,64462.6
53,081,Manatee,0.18817100316115584,0.1881710031611559,100.00000000000003,0.1881710031611559,100.00000000000003,0.1881710031611559,100.00000000000003,179139.0,963185.0,4147.1,24.75,21259.080000000005,21259.080000000005
54,011,Broward,0.2864502229764961,0.2864502229764961,100.0,0.2864502229764961,100.0,0.11480386812481251,40.07812140339386,3503.0,35526.0,0.0,19.93,454.18000000000006,454.18000000000006
55,015,Charlotte,0.1757084279223425,0.1757084279223427,100.00000000000011,0.1757084279223427,100.00000000000011,0.1757084279223427,100.00000000000011,254398.0,2838221.0,5372.25,22.22,2374.06,4041.06
56,003,Baker,0.14303268881850137,0.14303268881850134,99.99999999999997,0.14303268881850134,99.99999999999997,0.0,0.0,0.0,0.0,0.0,13.69,4403.56,5713.56
57,043,Glades,0.23233914497049943,0.2323391449704993,99.99999999999994,0.2323391449704993,99.99999999999994,0.2323391449704993,99.99999999999994,74093.0,1342361.0,3922.64,17.01,118937.61000000002,119462.66000000002
58,103,Pinellas,0.07796569837270291,0.07796569837270292,100.00000000000003,0.07796569837270292,100.00000000000003,0.07796569837270292,100.00000000000003,0.0,0.0,0.0,19.76,0.0,0.0
59,085,Martin,0.15983957305702448,0.15983957305702465,100.00000000000011,0.15983957305702465,100.00000000000011,0.01043291429882244,6.5271159696481345,91472.0,459039.0,445.4,19.65,77490.83000000002,91966.56000000001
60,091,Okaloosa,0.24255004094799792,0.2425500409479979,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.82,19264.140000000003,19264.140000000003
61,017,Citrus,0.15813326326260627,0.1581332632626062,99.99999999999997,0.1581332632626062,99.99999999999997,0.13103147523586856,82.86142493516324,1354.0,108112.0,0.0,17.37,11475.97,12037.89
62,083,Marion,0.3995440456410004,0.39954404564100066,100.00000000000007,0.39954404564100066,100.00000000000007,0.011369907692524796,2.845720720048203,123402.76,503619.9,2261.1766666666,18.28,25150.81,25260.97
63,125,Union,0.06052186292450013,0.06052186292449997,99.99999999999973,0.06052186292449997,99.99999999999973,0.0,0.0,0.0,0.0,0.0,13.57,6059.5599999999995,6647.389999999999
64,117,Seminole,0.08259988752649992,0.08259988752649995,100.00000000000004,0.08259988752649995,100.00000000000004,0.0,0.0,17665.0,78884.0,55.3,19.25,7478.39,7478.39
65,,Dade_Monroe,0.3947996639029818,0.39479966390298127,99.99999999999986,0.39479966390298127,99.99999999999986,0.30453545189507014,80.40826703078255,4736629.75,40110328.0,430.325,16.705,13864.789999999995,13871.259999999995
